Approval,GMDN,GMDN Description,Recommended UNSPSC,UNSPSC Description,
,10678,Catheter introducer,42272006,Introducers,
,10688,"Angiographic catheter, single-use",42296813,Angiography surgical instruments,
,10691,Intravascular microflow catheter,42203432,Intravascular occluding catheters,
,10825,Orthopaedic chisel,42291606,Surgical chisels or gouges,
,10904,Surgical instrument clip,42281510,Sterilization instrument clips or racks or stringers or holders,
,11290,Open-surgery dissector,42292701,Surgical dissectors,
,11301,Closed-wound/centesis drainage receptacle,42295453,Surgical drains or drain sets,
,11305,Closed-wound drain,42295453,Surgical drains or drain sets,
,11332,"Cannulated surgical drill, reusable",42295204,Surgical power reamers,
,11334,"Automatic cranial perforator, reusable",42291703,Surgical perforators,
,11490,Electrosurgical system generator,42295104,Electrosurgical or electrocautery equipment,
,11702,Bone file,42291611,Surgical rasps or files,
,11798,"Utility forceps, reusable",42291802,Surgical clamps or clips or forceps,
,11961,Face splash shield,42295448,Surgical splash guards,
,12143,Instrument tray,42281509,Sterilization containers or trays,
,12696,Orthopaedic implant inserter/extractor,42293406,Surgical implant positioners and holders,
,12699,Epistaxsis balloon,42141907,Epistaxis balloons,
,12726,"Needle holder, reusable",42142529,Needle trays or holders,
,12750,"Spring-loaded pneumoperitoneum needle, single-use ",42294917,Endoscopic insufflation needles,
,12844,Orthopaedic osteotome,42261506,Autopsy chisels or osteotomes,
,13180,"Orthopaedic prosthesis implantation instrument, reusable",42293406,Surgical implant positioners and holders,
,13702,Neurosurgical sponge,42296804,Neurosurgical or spinal instruments,
,13730,Sterilization container,42281509,Sterilization containers or trays,
,13732,Biological sterilization indicator,42281803,Sterilization biological kits,
,13735,"Sterilization packaging, single-use",42281902,Sterilization wraps or overwraps,
,13836,Needle stylet,42142527,Needle cleaning wires,
,13898,"Catgut suture, plain",42312201,Sutures,
,13904,"Surgical stainless steel suture, multifilament",42312201,Sutures,
,13906,Polyester suture,42312201,Sutures,
,13907,Polyethylene suture,42312201,Sutures,
,13908,Polyglycolic acid suture,42312201,Sutures,
,13909,Polypropylene suture,42312201,Sutures,
,13910,"Silk suture, sterile",42312201,Sutures,
,13983,Umbilical cord tape,42312209,Umbilical tapes,
,14147,Bone trephine,42291613,Surgical scalpels or knives or blades or trephines,
,14155, Laparoscopic trocar,42294979,Surgical trocars for general use,
,14159, Gallbladder trocar,42294979,Surgical trocars for general use,
,15056,"Shoe cover, non-conductive, non-sterile",42131716,Surgical shoe covers,
,15275,Bone awl,42291702,Surgical hand reamers or awls,
,15688,Cerebrospinal fluid shunt filter,42295600,Cerebral spinal fluid CSF drainage products and accessories,
,15749,Cranial bur hole cover,42296104,Cranial plate or bur hole covers,
,15772,Surgical instrument maintenance lubricant,42281706,Instrument lubricants or milks,
,15800,Dissection forceps,42261502,Autopsy dissection forceps for general use,
,15971,"Surgical stainless steel suture, monofilament",42312201,Sutures,
,15974,Cerebrospinal fluid reservoir,42293507,Surgical suction reservoirs,
,16077,Orthopaedic bone bolt,42321516,Intramedullary nail locking bolts,
,16131,Cranial resinous compound,42296701,Cranial repair resin kits,
,16224,Suture cutter,42312208,Suture removers,
,16462,"Surgical countersink, reusable",42295209,Surgical drill bits,
,16463,Basic crimper,42292302,Surgical crimpers,
,16584,Polydioxanone suture,42312201,Sutures,
,16763,Intracranial pressure monitor,42181902,Intracranial pressure ICP monitoring units,
,16779,Suction system tubing,42293515,Medical or surgical suction tubings,
,16787,"Surgical staple remover, reusable",42312010,Medical staplers for external use,
,16825,Syringe tip cap,42142615,Syringe accessories,
,16966,Synthetic bone graft,42295545,Bone graft extender or void fillers or substitutes,
,17115,External battery charger, ,#N/A,
,17180,Subcutaneous injection/infusion port needle,42142533,Needle for intravenous or arterial administration ports,
,17184,"Peripheral angioplasty balloon catheter, basic",42203405,Angioplasty balloon catheters,
,17245,Polybutester suture,42312201,Sutures,
,17471,Polyglactin suture,42312201,Sutures,
,17507,"Bone tap, reusable",42292401,Surgical taps,
,17541,"Catheter-balloon inflator, single-use", ,#N/A,
,17649,Gastric band,42143602,Torso and belt restraints,
,17735,Arthroscopic suturing unit,42312202,Suturing kits or trays or packs or sets,
,17751,"Bone matrix implant, synthetic",42291501,Surgical bone biopsy mills or related products,
,17827,Bronchial balloon catheter, ,#N/A,
,17846,"Vascular guide-catheter, single-use",42203402,Diagnostic or interventional vascular catheters for general use,
,18034,Endoscopic video image processor,42296408,Endoscopic video cameras or recorders or adapters or accessories,
,18039,Glove liner,42132204,Medical glove liners,
,18129,Bone mill,42291501,Surgical bone biopsy mills or related products,
,30854,Home-use/point-of-care blood glucose monitoring system IVD,42181909,Central venous glucose concentration monitors,
,31048,Surgical drill chuck,42295174,Surgical chucks or keys,
,31135,Assistive automobile bodywork component,,#N/A,
,31335,Bone curette,42291607,Surgical curettes or loops or curette sets,
,31744,"Cardiovascular patch, synthetic",42295456,Surgical felt or fabric or patch or pledget,
,32021,Suprapubic trocar,42294979,Surgical trocars for general use,
,32033,Battery box, ,#N/A,
,32241,Fibreoptic operating light system,42191602,Operating room lighting,
,32312,Surgical mallet,42292502,Surgical hammers or mallets,
,32390,"Fluted surgical drill, reusable",42295203,Surgical power equipment sets,
,32584,Intravascular occluding catheter,42221512,Intravenous catheters,
,32591,Aneurysm clip applier,42312006,Medical clip appliers for internal use,
,32831,Uncoated knee femur prosthesis,42242001,Lower extremity prosthetic devices,
,32832,"Uncoated knee tibia prosthesis, metallic",42242001,Lower extremity prosthetic devices,
,32845,"Surgical depth gauge, reusable",42293002,Surgical measuring gauges or rods,
,32847,Orthopaedic bone nut,42321508,Orthopedic nuts,
,32848,Acetabular orthopaedic reamer,42295204,Surgical power reamers,
,32850,Orthopaedic knife,42291632,Surgical scalpel or knife or blade or trephine accessories,
,32853,Orthopaedic rongeur,42291612,Surgical rongeurs,
,32854,"Orthopaedic bone pin, non-bioabsorbable",42321512,Permanent bone fixation pins or pegs,
,32856,Orthopaedic implant impactor,42292503,Surgical impactors or packers,
,32859,Orthopaedic bone screw starter/notcher,42321506,Bone screws,
,32864,Wire/ligature passer,42292904,Surgical suture or wire passers or related products,
,32865,Orthopaedic implant driver,42292402,Surgical drivers,
,32871,Surgical torque wrench,42292307,Surgical wrenches,
,32873,Surgical tamp,42292501,Surgical tamps,
,32873,Surgical tamp,42292501,Surgical tamps,
,32874,Wire holding/twisting pliers,42292303,Surgical pliers,
,32878,Hip prosthesis socket pusher,42292101,Surgical inserters or inserters kits,
,32879,Orthopaedic wire crimper,42292302,Surgical crimpers,
,32881,Wire twister,42292306,Surgical wire holding forceps or twisters,
,32885,Wire cutter,42291602,Surgical bolt or cable or pin or wire cutter instruments,
,32886,Wire holding/twisting forceps,42292306,Surgical wire holding forceps or twisters,
,33175,Metallic femoral head prosthesis,42242001,Lower extremity prosthetic devices,
,33177,Sleeve femoral extension,42131709,Surgical sleeves,
,33178,Revision uncoated hip femur prosthesis,42242001,Lower extremity prosthetic devices,
,33187,"Femur nail, sterile",42321504,Intramedullary nails or rods,
,33310,Polyethylene craniofacial tissue reconstructive material,42295502,Human tissue implants,
,33369,Uncoated unicondylar knee femur prosthesis,42321808,Total knee replacement kits or systems,
,33511,Aneurysmorrhaphy tissue adhesive,42312005,Medical adhesives or glues for skin closure,
,33519,Suture retention device,42312204,Suture boots and capturing devices,
,33541,Rechargeable battery-powered surgical power tool system motor,42295215,Surgical power equipment accessories,
,33542,Bone hook,42293102,Surgical retraction hooks,
,33580,"Uncoated knee tibia prosthesis, polyethylene",42242001,Lower extremity prosthetic devices,
,33581,"Coated hip femur prosthesis, modular",42242001,Lower extremity prosthetic devices,
,33602,Endoscopic electrosurgical diathermy system generator,42141806,Diathermy units,
,33651,"Clinical goniometer, manual",42182701,Goniometers or arthrometers,
,33678,ENT trocar,42294979,Surgical trocars for general use,
,33692,Hinged total elbow prosthesis,42242002,Upper extremity prosthetic devices,
,33695,Femoral head bipolar component,42321715,Bi polar or uni polar hip components,
,33697,"Proximal interphalangeal joint prosthesis, one-piece",42342004,#N/A,
,33701,Elbow radius prosthesis,42242002,Upper extremity prosthetic devices,
,33710,Partial shoulder prosthesis,42321904,Resurfacing humeral components,
,33711,Total reverse shoulder prosthesis,42242002,Upper extremity prosthetic devices,
,33745,Coated knee femur prosthesis,42242001,Lower extremity prosthetic devices,
,33746,Humeral centering sleeve,42321910,Humeral stem centralizers or sleeves,
,33786,Metacarpophalangeal joint prosthesis,42342004,#N/A,
,33961,"General surgical procedure kit, non-medicated, single-use",42294203,General surgical instrument sets,
,33968,"Surgical screwdriver, reusable",42292402,Surgical drivers,
,33997,Surgical drill guide obturator,42295207,Surgical drill guides or sleeves,
,34003,Hip internal fixation system,42321714,Acetabular augments,
,34004,"Surgical instrument guard, reusable",42296817,Surgical instrument accessories,
,34017,Sternal fixation device,42321507,Internal bone fixation sets,
,34032,Revision coated hip femur prosthesis,42291605,Surgical broaches,
,34071,"Intrathecal implantable infusion pump, nonprogrammable",42295543,Implantable intrathecal infusion pump accessories,
,34076,Polyethylene acetabulum prosthesis,42321703,Acetabular cup liners,
,34078,"Endoscopic suturing unit, reusable",42294934,Endoscopic suturing devices,
,34158,Secondary battery, ,#N/A,
,34164,Skin-approximation adhesive,42312005,Medical adhesives or glues for skin closure,
,34170,"Vertebral body prosthesis, sterile",42242002,Upper extremity prosthetic devices,
,34178,"Invasive breast implant sizer, single-use",42295536,Breast implant volume mammary sizers,
,34190,"Uncoated hip femur prosthesis, modular",42242001,Lower extremity prosthetic devices,
,34191,"Coated femoral stem prosthesis, modular",42242001,Lower extremity prosthetic devices,
,34192,Metal-backed patella prosthesis,42242001,Lower extremity prosthetic devices,
