GMDN,Short Desp,Long Desp
10678,Catheter introducer,"A sterile tubular plastic sheath designed to be percutaneously placed into a natural body space (e.g., vein, artery, ventricle, peritoneal cavity), or an artificial passageway (e.g., created by means of a catheter tunneller), and through which a catheter is subsequently inserted (by pushing) for placement. It typically has a handle (e.g., T-shaped wing grips) at the proximal end, and may have radiopaque graduated markings at the working end to make it visible on x-ray. This is a single-use device."
10688,"Angiographic catheter, single-use","A thin, flexible tube designed to inject a contrast medium into select blood vessels of the cerebral, visceral, or peripheral vasculature during an angiographic procedure in order to facilitate the clear visualization of the vascular system of a targeted organ or area of the body. It is introduced percutaneously, has a radiopaque marker(s) for positioning, and may include disposable devices dedicated to catheter introduction/function [e.g., sheath(s)]. It may also be used for simultaneous pressure measurements to determine the transvalvular, intravascular, and intraventricular pressure gradients. This is a single-use device."
10691,Intravascular microflow catheter,"A sterile, small-diameter, flexible tube designed for the controlled infusion of agents/fluids (e.g., thrombolytics, diagnostic contrast media) into superselective small vessels (including neuro, peripheral, or coronary vasculature) for angiography and treatment, and the delivery of embolic devices into tortuous or superselective anatomy. Also known as a continuous flush catheter, it may include an ultrasound transducer, a thermal sensor, and a hole for guidewire placement located at the distal tip. It is typically used with a microflow infusion system which provides the energy for its application. This is a single-use device."
10825,Orthopaedic chisel,"A hand-held, single-blade surgical instrument, bevelled on one side, designed to cut and shape bone during orthopaedic surgery. It is hand-held by the operator who uses a surgical mallet or hammer to manually impart a force to the proximal end of the instrument. The distal end (the cutting or shaping edge) is sharp, flat or curved [(concave) - also known as a hollow blade] in design. It is either entirely made of metal (e.g., high-grade stainless steel) or has a metal blade with a handle made of synthetic material (e.g., Tufnol). This is a reusable device."
10904,Surgical instrument clip,"A device designed to hold surgical instruments together; typically those with ring handles. This can be for sterilization, storage purposes, and/or to keep surgical instruments used for a particular procedure together prior to being lain out for surgery. It is typically designed like a very large safety pin (i.e., an elongated spring wire clasp with a locking catch onto which the instruments are threaded, usually by the ring handle). It is typically made of stainless steel or chromed metal. This is a reusable device."
11290,Open-surgery dissector,"A hand-held surgical instrument, usually spoon-shaped or rounded at the working end, used to separate a soft tissue or body structure from another. It is used in general or plastic surgery and is usually designed with a handle which continues into a shaft that terminates at the distal end with a tip. The tip may be pointed or flat, sharp or blunt, and angled or straight from the shaft. It is made of high-grade stainless steel, comes in various shapes and sizes. This is a reusable device. See also: Blunt-microdissection atherectomy catheter"
11301,Closed-wound/centesis drainage receptacle,"A sterile container designed to be connected to an invasive drain/drainage catheter (not included) to collect fluids or purulent material being removed during drainage of a body cavity, a closed-wound, and/or the bile duct; it is not intended for drainage of cerebrospinal fluid (CSF) or blood. It is typically in the form of a bottle, bag, or bulb with fluid volume markers, and might include a hand-operated pump (e.g., suction bulb) and tubing; it does not include any invasive components or powered devices. This is a single-use device."
11305,Closed-wound drain,"A sterile, tube-like device designed to establish a channel for the removal of fluid or purulent material from a closed-wound or an infected area, typically used with a closed drainage system that applies a low negative pressure through the drain lumen. It is typically made of silicone and comes in various designs/sizes for a wide variety of surgical applications (e.g., orthopaedic, plastic/reconstructive, neurological, gynaecological, thoracic, cardiovascular, and general surgery). It might include disposable devices dedicated to drain insertion/function (e.g., sharp metal trocar, connector), however it does not include any fluid collection bags/containers. This is a single-use device. "
11332,"Cannulated surgical drill, reusable","A shaft of metal intended to be mounted into an appropriate surgical power tool (e.g., a pneumatic reamer or drilling system handpiece with appropriate torque capacity) and rotated to bore into hard/tough tissues (e.g., bone, cartilage) to clear a channel of the same dimension as the diameter of the shaft. This drill is cannulated, having a hollow centre, and is typically flexible so that it can be fed over a guiding pin that has been placed into the correct position prior to operation. This device is typically used in orthopaedic surgery for clearing of the intramedullary channel prior to the insertion of a prosthetic device. This is a reusable device."
11334,"Automatic cranial perforator, reusable","A drill-like device designed to cut a hole(s) or a circular section(s) of the skull vault (calvarium) to provide access to the interior for diagnostic/therapeutic purposes or for the removal of a bone flap for brain surgery. It is available in various configurations such as: 1) two coaxial drills (one rotating inside the other with the inner drill extending slightly beyond the outer cutter); or 2) a single trepan bur rotating a in protective sleeve, both having a drive shank that connects to a powered handpiece and a built-in clutch mechanism that disengages with penetration of the cutter through the skull. It is typically made of high-grade stainless steel. This is a reusable device."
