Prdha	Minor_code	Minor_name	Major_code	Major_code_2	Major_name	SubFran_code	SubFran_code_2	SubFran_name	Fran_code	Fran_name	WorldFran_code	WorldFran_code_2	WorldFran_name	PubRep_code	PubRep_name
001800220005040812	040812	Softwash Cleansers	030005	0005	Softwash	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220006040813	040813	Soft Lotion	030006	0006	Soft Lotion	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220007040203	040203	BabyCleansers ex Softwash	030007	0007	BabyCleansers ex Softwash	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220008040205	040205	Baby Suncare	030008	0008	Baby Lotion/Cream ex Soft	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220008041500	041500	Baby Lotion/Cream ex Soft	030008	0008	Baby Lotion/Cream ex Soft	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220035040034	040034	Nursing Pads	030035	0035	Misc Baby Care Products	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220035040035	040035	Other Misc. Baby Care Products	030035	0035	Misc Baby Care Products	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220037040037	040037	Baby Hair Care	030037	0037	Baby Hair Care	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220178040178	040178	Disposable Diapers	030178	0178	Disposable Diapers	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220198040198	040198	Diaper Rash	030198	0198	Diaper Rash	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220201040201	040201	Hipoglos	030201	0201	Hipoglos	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800220206040206	040206	Baby Powder	030206	0206	Baby Powder	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800221054041054	041054	Baby Cologne	031054	1054	Baby Cologne	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800221068041068	041068	Cotton Buds/Swabs	031068	1068	Cotton Products	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800221068041812	041812	Pure Cotton	031068	1068	Cotton Products	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800221499041499	041499	Baby Oil	031499	1499	Baby Oil	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800221710041712	041712	Johnson's Toddlers	031710	1710	Johnson's Toddlers	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
